id,Item name*,Category,Current stock,Selling price,Sales tax included,Purchase price,Purchase tax included,HSN,GST tax rate (%),MRP
35bd032d-ff9e-483b-a9d0-a61f75b9ccca,Krack Heel Repair Cream 15g 55.00,,6,54,Without tax,40.17,Without tax,,0,55
c76e41e8-3196-4520-b195-441b60b7d443,Kurkure 10.00,,120,10,With tax,8.5,With tax,,0,10
6f452ba4-cc05-472c-9539-14da371aee58,Kurthi Dal,,5,120,With tax,70.5,With tax,,0,120
86191b65-39c1-482d-82a9-58dbc35367f9,Lactogen Stage-1 340.00,,3,325,Without tax,313,Without tax,,0,340
2a153815-5e51-4bf3-b13c-9e81aa97080a,Lactogen Stage-2 400g 330.00,,3,315,Without tax,302.75,Without tax,,0,330
3ac98183-4df4-4256-8c24-3c9433f3c034,Lactogen Stage-3/320.00,,3,310,Without tax,293.58,Without tax,,0,320
8ba5b558-e832-4bb8-b73d-e1282a7fa928,Lactogen Stage4 310.00,,2,300,Without tax,284.4,Without tax,,0,310
86848705-1b3a-4cc6-9d8b-d29fc043ed20,Ladli Chawal 44.00,,50,44,With tax,37.3,With tax,,0,44
154b6444-4cc9-4eba-876a-642d0e0d1741,Lahsun (Garlic) Loose 100.00,,15,100,Without tax,54.5,Without tax,,0,100
eb7cc5f2-bcb2-47eb-9928-2199bbe272ea,Lakme F/W 100g 205.00,,3,198,With tax,179.82,With tax,,0,205
94152157-c60e-478d-acc3-12b09f510c84,Lakme Peach Milk Moi. 60ml 99.00,,3,95,With tax,82.5,With tax,,0,99
6ae82bea-e7ae-4f2a-9bf9-15f54d577bf4,Lakme Perfect Radiance Cream 299.00,,3,288,Without tax,262.28,Without tax,,0,299
d1e30dd3-6dcd-45d7-b3d2-b25b89b943d3,Lakme Perfect Radiance Cream 99.00,,3,95,Without tax,86.84,Without tax,,0,99
8f2d1957-1f09-42a2-919e-9a2604b7d019,Lakme Pich Milk Moi. 200ml,,3,315,With tax,262.3,With tax,,0,325
751cde06-f08c-4a51-9716-0ade476d25f1,Lakme Soft Creme 65g 105.00,,6,100,Without tax,84.73,Without tax,,0,105
a5b3811d-3f47-469a-ac23-7c89c2e18b5f,Lal Qilla Chawal 1kg 210.00,,10,180,With tax,130,With tax,,0,210
ab9eaa28-7e51-4221-943c-95f384f715b3,Laxman Rekha 15.00,,24,14,With tax,8.75,With tax,,0,15
c38cc13c-fe5c-488f-bbcf-85e33b261d85,Lays Chips 10.00,,258,10,With tax,8.72,With tax,,0,10
44e9a2bf-7bf8-499c-bb41-301b60cb58df,Lazor Razor 20.00,,6,19,With tax,15.66,With tax,,0,20
88f948b0-ebbe-4512-bb66-b93258f89281,Lia Agarbatti 30.00,,12,28,Without tax,24,Without tax,,0,30
a94d1177-af95-445d-afbc-9549db2c8a50,Lia Agarbatti 50.00,,12,45,Without tax,40,Without tax,,0,50
ee6e118c-118c-4fa1-9379-a0083881e388,Life Agarbatti 55.00,,12,50,With tax,40,With tax,,0,55
4aa81e37-4c02-4e0f-b642-396d162e6163,Lifebuoy Hand Sanitizer 25.00,,6,24,Without tax,22.04,Without tax,,0,25
f9874ca3-2027-406f-8002-957d3ec96be2,Lifebuoy Hand Sanitizer 250.00,,2,244,Without tax,218.19,Without tax,,0,250
1a45600a-ffee-4edd-ab49-2fd28ecfcf68,Lifebuoy Hand Wash 750ml Set 199.00,,3,190,Without tax,177.29,Without tax,,0,199
7b36c36e-b122-4765-8060-1ea9646a6a90,Lifebuoy Hand Wash Pump+Refill 90.00,,6,86,Without tax,81.81,Without tax,,0,90
984a2a2b-0342-4299-b819-01374eb0b0d7,Lifebuoy Hand Wash Set 113.00,,3,109,Without tax,95.54,Without tax,,0,113
3518c59c-ead3-4c9c-aebd-95d6fb264484,Lifebuoy Hand Wash Set 189.00,,3,184,Without tax,168.38,Without tax,,0,189
5fbf499b-1749-4a81-bf87-38fd32c12626,Lifebuoy Handwash 80ml 25.00,,6,24,Without tax,22.72,Without tax,,0,25
13bcb0f7-9b3d-4fbb-941d-0aeb5d4194b0,Lifebuoy Lemon Fresh Soap 10.00,,24,10,Without tax,9.12,Without tax,,0,10
affa28ec-649c-48b4-beb4-c82656ca40f3,Lifebuoy Lemon Soap 125g 25.00,,12,24,Without tax,23.14,Without tax,,0,25
9b3e9876-98e1-4f53-ac67-64223eb748c2,Lifebuoy Soap 22.00,,24,21,Without tax,20.37,Without tax,,0,22
55009a00-3720-4ff1-aa6e-b0f531498fa8,Lifebuoy Soap 5.00,,24,5,Without tax,4.55,Without tax,,0,5
57182c6d-2874-4b14-ae58-c886e63d75f6,Lifebuoy Total Soap 10.00,,24,10,Without tax,8.93,Without tax,,0,10
fecdd23a-b3d2-4035-a758-79315727d770,Lijjat Papad 72.00,,25,69,With tax,60,With tax,,0,72
ca06c0be-182c-4bae-96ac-7b6292396064,Limca 200ml 14.00,,24,15,With tax,12.58,With tax,,0,14
6e62f3b9-1314-40ff-b95f-62668aa7d193,Link Lock 21 No. 91.00,,12,85,With tax,66.43,With tax,,0,91
82571d83-3ac4-4198-83d7-e9c8a73c326a,Link Lock 41 No.,,10,140,With tax,107.28,With tax,,0,147
3c09d0e1-c42a-42e1-bdb2-264a6e37d26e,Link Lock 50 No. Round 94.00,,10,85,With tax,68.62,With tax,,0,94
fe9e149e-97c2-48b9-8f1c-20bfc5292527,Link Lock 65 No. Round,,6,110,With tax,90,With tax,,0,120
67434276-d7fc-48b6-a613-bb813906115d,Lipton Darjeeling Tea 100g 175.00,,8,170,Without tax,162.03,Without tax,,0,175
414107bc-8592-45db-b9be-20c3d1468770,Lipton Darjeeling Tea 250g 475.00,,3,465,Without tax,439.81,Without tax,,0,475
9ba13aba-922c-45bb-8818-d26c9d690d20,Lipton Green 25 Tea Bags 165.00,,6,160,Without tax,150,Without tax,,0,165
ab5a452e-4cfb-48be-9d14-16da1d6e703e,Lipton Green Tea 100g 145.00,,5,140,Without tax,131.81,Without tax,,0,145
eba3b473-c556-42ef-a896-b85601d77cd1,Lipton Green Tea Bag 165.00,,6,160,With tax,150,With tax,,0,165
8f83cdbf-d35c-4d9f-a4ff-60ce17bbcd20,Lipton Green Tea Bag 65.00,,6,62,Without tax,59.09,Without tax,,0,65
ecf6bbd4-3b7b-4d81-83ac-7032010197bb,Liril Soap 75 gm 32.00,,12,31,Without tax,29.63,Without tax,,0,32
9ac522e5-fb3f-4db3-ac02-55dd64772018,Listerine 250ml 140.00,,3,134,With tax,121.74,With tax,,0,140
44e4c702-32ac-4ebf-ac5f-1fd8ba4899b9,Little Nipple,,24,24,With tax,17.5,With tax,,0,25
